[3.24, 0.8]
[3.25, 0.79]
[3.28, 0.76]
[3.3, 0.74]
[3.32, 0.73]
[3.34, 0.7]
[3.37, 0.65]
[3.37, 0.64]
[3.41, 0.64]
[3.42, 0.61]
[3.46, 0.59]
[3.48, 0.58]
[2.01, 0.2]
[2.41, 0.29]
[3.57, 0.55]
[3.58, 0.55]
[3.61, 0.54]
[3.64, 0.52]
[3.67, 0.48]
[3.69, 0.47]
[3.72, 0.44]
[3.76, 0.4]
[3.78, 0.41]
[3.81, 0.39]
[3.69, 0.35]
[3.86, 0.36]
[3.88, 0.34]
[2.04, 0.85]
[0.0, 0.0]
[0.0, 0.0]
[4.0, 0.31]
[2.08, 0.85]
[0.0, 0.0]
[0.0, 0.0]
[2.03, 0.81]
