[40, [2.9074, 0.009211], [0.8312, 0.010899]]
[45, [2.9086, 0.004449], [0.8181, 0.006063]]
[50, [2.9146, 0.008738], [0.7836, 0.010229]]
[55, [2.9431, 0.006513], [0.761, 0.010636]]
[60, [2.9598, 0.007888], [0.7527, 0.007135]]
[65, [2.9978, 0.007888], [0.7551, 0.010636]]
[70, [3.018, 0.007135], [0.7456, 0.009661]]
[75, [3.0597, 0.008899], [0.7325, 0.004449]]
[80, [3.068, 0.0], [0.7087, 0.012127]]
[85, [3.0846, 0.007888], [0.6731, 0.007888]]
[90, [3.1155, 0.008408], [0.6362, 0.008408]]
[95, [3.1572, 0.006513], [0.5422, 0.008738]]
[100, [3.1572, 0.0], [0.4388, 0.008738]]
[105, [3.175, 0.0], [0.3758, 0.012127]]
[110, [3.1928, 0.0], [0.3544, 0.011028]]
[115, [3.2107, 0.0], [0.4126, 0.012807]]
[120, [3.3508, 0.033612], [0.316, 0.05109]]
