[40, [3.8897, 0.004449], [0.8324, 0.012472]]
[45, [3.9087, 0.006063], [0.8181, 0.006063]]
[50, [3.9325, 0.008899], [0.8086, 0.012472]]
[55, [3.9586, 0.004449], [0.7872, 0.006063]]
[60, [3.9919, 0.007135], [0.767, 0.0]]
[65, [4.0193, 0.008408], [0.7408, 0.008899]]
[70, [4.0419, 0.008738], [0.7313, 0.0]]
[75, [4.0669, 0.0], [0.7206, 0.012697]]
[80, [4.0859, 0.004449], [0.7004, 0.015228]]
[85, [4.1073, 0.007888], [0.6814, 0.011651]]
[90, [4.1216, 0.004449], [0.6635, 0.007135]]
[95, [4.1441, 0.008408], [0.6338, 0.012807]]
[100, [4.1667, 0.008738], [0.6255, 0.010229]]
[105, [4.1917, 0.0], [0.6029, 0.007135]]
[110, [4.2191, 0.008899], [0.5922, 0.009661]]
[115, [4.244, 0.004449], [0.5827, 0.008408]]
[120, [4.2666, 0.007135], [0.5744, 0.011651]]
[125, [4.2987, 0.0], [0.5529, 0.0]]
[130, [4.3344, 0.0], [0.5232, 0.008408]]
[135, [4.3522, 0.0], [0.4994, 0.0]]
[140, [4.4058, 0.0], [0.4864, 0.007888]]
[145, [4.4628, 0.007135], [0.4245, 0.014852]]
[150, [4.426, 0.014368], [0.4245, 0.049688]]
[155, [4.2595, 0.016218], [0.4982, 0.058061]]
[160, [4.2571, 0.01407], [0.5149, 0.057103]]
[165, [4.2654, 0.022437], [0.5256, 0.071605]]
