[40, [3.5198, 0.012472], [0.7349, 0.02275]]
[45, [3.5448, 0.013765], [0.7099, 0.018651]]
[50, [3.571, 0.011651], [0.698, 0.024254]]
[55, [3.5936, 0.011028], [0.6826, 0.022055]]
[60, [3.6138, 0.012697], [0.6659, 0.024078]]
[65, [3.6388, 0.011281], [0.6528, 0.025057]]
[70, [3.653, 0.007135], [0.6302, 0.012472]]
[75, [3.6697, 0.007888], [0.6184, 0.02025]]
[80, [3.703, 0.008738], [0.5993, 0.020389]]
[85, [3.7232, 0.010229], [0.6029, 0.021797]]
[90, [3.7458, 0.006513], [0.6005, 0.012472]]
[95, [3.7803, 0.004449], [0.616, 0.029752]]
[100, [3.785, 0.007135], [0.6421, 0.0]]
[105, [3.7922, 0.008738], [0.6338, 0.012807]]
[110, [3.8171, 0.0], [0.6184, 0.01407]]
[115, [3.835, 0.0], [0.6029, 0.009661]]
[120, [3.8564, 0.007135], [0.5815, 0.008738]]
[125, [3.8885, 0.0], [0.5256, 0.008899]]
[130, [3.9242, 0.0], [0.4994, 0.0]]
[135, [3.9658, 0.008408], [0.4114, 0.013765]]
[140, [3.9955, 0.0], [0.3841, 0.008899]]
[145, [4.0466, 0.011028], [0.4352, 0.035555]]
[150, [4.376, 0.02578], [0.3294, 0.048682]]
