[40, [4.4337, 0.0], [0.5355, 0.017591]]
[45, [4.5028, 0.014104], [0.5106, 0.019574]]
[50, [4.5566, 0.012732], [0.501, 0.014104]]
[55, [4.6065, 0.0], [0.4664, 0.015593]]
[60, [4.6737, 0.013572], [0.4415, 0.013572]]
[65, [4.7504, 0.0], [0.4338, 0.012732]]
[70, [4.7946, 0.014363], [0.4338, 0.016511]]
[75, [4.8637, 0.007182], [0.4011, 0.022218]]
[80, [4.9404, 0.014104], [0.3474, 0.016511]]
[85, [5.0095, 0.0], [0.3781, 0.017799]]
[90, [5.0959, 0.0], [0.334, 0.014104]]
[95, [5.188, 0.011516], [0.3781, 0.009787]]
[100, [5.2936, 0.009787], [0.4088, 0.018806]]
[105, [5.4126, 0.0], [0.4415, 0.013572]]
[110, [5.5508, 0.011516], [0.4319, 0.0]]
[115, [5.7178, 0.014104], [0.5029, 0.020672]]
[120, [5.9692, 0.013572], [0.5681, 0.016511]]
[125, [7.2744, 0.027144], [1.19, 0.021459]]
