[40, [4.1151, 0.007182], [0.5835, 0.016511]]
[45, [4.117, 0.0], [0.5854, 0.013572]]
[50, [4.1382, 0.012732], [0.5681, 0.012732]]
[55, [4.1842, 0.013572], [0.547, 0.0]]
[60, [4.2341, 0.007182], [0.524, 0.011516]]
[65, [4.2898, 0.0], [0.547, 0.0]]
[70, [4.3167, 0.007182], [0.5451, 0.007182]]
[75, [4.3474, 0.0], [0.5182, 0.0]]
[80, [4.4049, 0.0], [0.5048, 0.014363]]
[85, [4.4453, 0.014104], [0.4933, 0.009787]]
[90, [4.4894, 0.007182], [0.4798, 0.013572]]
[95, [4.5355, 0.014363], [0.4491, 0.014104]]
[100, [4.5777, 0.0], [0.428, 0.020672]]
[105, [4.6065, 0.0], [0.4107, 0.012732]]
[110, [4.6353, 0.0], [0.4146, 0.014104]]
[115, [4.6813, 0.014104], [0.3762, 0.007182]]
[120, [4.714, 0.012732], [0.3532, 0.012732]]
[125, [4.7792, 0.0], [0.3225, 0.011516]]
[130, [4.8121, 0.010075], [0.3167, 0.0]]
[135, [4.8656, 0.0], [0.3167, 0.0]]
