[40, [4.5508, 0.007182], [0.4357, 0.020672]]
[45, [4.6065, 0.0], [0.4069, 0.014363]]
[50, [4.6602, 0.009787], [0.3877, 0.017799]]
[55, [4.6948, 0.007182], [0.3954, 0.019574]]
[60, [4.7504, 0.0], [0.38, 0.023973]]
[65, [4.808, 0.0], [0.3493, 0.020672]]
[70, [4.8426, 0.011516], [0.3666, 0.028726]]
[75, [4.8944, 0.0], [0.3493, 0.017799]]
[80, [4.952, 0.0], [0.3647, 0.027144]]
[85, [5.0095, 0.0], [0.3839, 0.017167]]
[90, [5.0729, 0.011516], [0.3762, 0.016511]]
[95, [5.1497, 0.009787], [0.405, 0.019574]]
[100, [5.2111, 0.0], [0.4376, 0.018806]]
[105, [5.2687, 0.0], [0.4702, 0.017167]]
[110, [5.3531, 0.007182], [0.4587, 0.016511]]
[115, [5.4299, 0.014104], [0.5106, 0.019574]]
[120, [5.5412, 0.014363], [0.5451, 0.016511]]
[125, [5.6429, 0.0], [0.5528, 0.015593]]
[130, [5.7197, 0.013572], [0.5912, 0.014363]]
[135, [5.8445, 0.0], [0.6238, 0.017167]]
[140, [5.9769, 0.014104], [0.6468, 0.020672]]
[145, [6.1074, 0.009787], [0.7121, 0.02458]]
[150, [6.2898, 0.014363], [0.7965, 0.013572]]
[155, [6.5431, 0.012732], [0.8407, 0.018806]]
[160, [7.0594, 0.058721], [1.1363, 0.052424]]
