[40, [3.6717, 0.014363], [0.6622, 0.0]]
[45, [3.6852, 0.0], [0.6411, 0.012732]]
[50, [3.7312, 0.014104], [0.618, 0.014363]]
[55, [3.76, 0.014104], [0.6142, 0.017167]]
[60, [3.7927, 0.012732], [0.6084, 0.009787]]
[65, [3.8195, 0.013572], [0.5796, 0.014363]]
[70, [3.856, 0.007182], [0.5681, 0.012732]]
[75, [3.8982, 0.014104], [0.5739, 0.007182]]
[80, [3.9366, 0.012732], [0.5432, 0.014363]]
[85, [3.9692, 0.009787], [0.5278, 0.013572]]
[90, [3.9961, 0.011516], [0.5221, 0.014363]]
[95, [4.0153, 0.014363], [0.5106, 0.016511]]
[100, [4.0307, 0.0], [0.4626, 0.007182]]
[105, [4.0729, 0.014363], [0.4606, 0.0]]
[110, [4.117, 0.0], [0.4319, 0.0]]
[115, [4.1266, 0.013572], [0.4031, 0.0]]
[120, [4.1516, 0.011516], [0.3762, 0.007182]]
[125, [4.1746, 0.0], [0.4184, 0.014363]]
[130, [4.2034, 0.0], [0.5988, 0.011516]]
[135, [4.261, 0.0], [0.7735, 0.009787]]
[140, [4.2687, 0.012732], [0.8887, 0.009787]]
[145, [4.4683, 0.046065], [1.167, 0.053467]]
