[40, [4.621, 0.004449], [0.4233, 0.007888]]
[45, [4.659, 0.007135], [0.3924, 0.0]]
[50, [4.7078, 0.004449], [0.3603, 0.009661]]
[55, [4.7447, 0.0], [0.3401, 0.007888]]
[60, [4.797, 0.004449], [0.3056, 0.006063]]
[65, [4.8338, 0.0], [0.2783, 0.008738]]
[70, [4.8695, 0.0], [0.2604, 0.008738]]
[75, [4.9052, 0.0], [0.2438, 0.008408]]
[80, [4.9409, 0.0], [0.2176, 0.007135]]
[85, [4.9765, 0.0], [0.214, 0.0]]
[90, [5.0122, 0.0], [0.214, 0.0]]
[95, [5.0479, 0.0], [0.2247, 0.008738]]
[100, [5.0836, 0.0], [0.2438, 0.008408]]
[105, [5.1181, 0.004449], [0.2687, 0.013765]]
[110, [5.1573, 0.006063], [0.302, 0.004449]]
[115, [5.1965, 0.008408], [0.3258, 0.010229]]
[120, [5.2441, 0.0], [0.3484, 0.008899]]
[125, [5.2952, 0.006063], [0.3877, 0.007888]]
[130, [5.3297, 0.007135], [0.4138, 0.014852]]
[135, [5.3868, 0.0], [0.4531, 0.008738]]
[140, [5.4427, 0.006063], [0.4864, 0.010229]]
[145, [5.4843, 0.008899], [0.4947, 0.010229]]
[150, [5.5307, 0.004449], [0.5042, 0.010229]]
[155, [5.5949, 0.010636], [0.5708, 0.013026]]
[160, [5.6496, 0.010229], [0.5981, 0.008899]]
[165, [5.7102, 0.006063], [0.6362, 0.008408]]
[170, [5.7816, 0.006063], [0.6814, 0.011651]]
[175, [5.8565, 0.008408], [0.7289, 0.008899]]
[180, [5.9826, 0.008738], [0.8039, 0.007888]]
[185, [6.0218, 0.008738], [0.8253, 0.007888]]
[190, [6.1788, 0.010899], [0.9002, 0.011028]]
[195, [6.3595, 0.012807], [0.9799, 0.010229]]
