[40, [3.835, 0.011281], [0.8134, 0.010899]]
[45, [3.8683, 0.008899], [0.7943, 0.014368]]
[50, [3.9028, 0.007135], [0.761, 0.018034]]
[55, [3.936, 0.008408], [0.7349, 0.011651]]
[60, [3.961, 0.004449], [0.7194, 0.012472]]
[65, [3.9872, 0.008899], [0.6968, 0.013765]]
[70, [4.005, 0.008899], [0.6861, 0.014368]]
[75, [4.0312, 0.006513], [0.6516, 0.014368]]
[80, [4.0633, 0.007135], [0.6255, 0.004449]]
[85, [4.0776, 0.008738], [0.61, 0.013348]]
[90, [4.1037, 0.004449], [0.6065, 0.0]]
[95, [4.1204, 0.0], [0.5969, 0.008899]]
[100, [4.143, 0.007888], [0.5791, 0.008899]]
[105, [4.1703, 0.007135], [0.5506, 0.012807]]
[110, [4.1917, 0.0], [0.5268, 0.011028]]
[115, [4.2262, 0.004449], [0.4982, 0.004449]]
[120, [4.2464, 0.004449], [0.4661, 0.006063]]
[125, [4.2809, 0.0], [0.4459, 0.0]]
[130, [4.2987, 0.0], [0.4388, 0.008738]]
[135, [4.332, 0.006063], [0.4305, 0.006063]]
[140, [4.3522, 0.0], [0.4091, 0.004449]]
[145, [4.3701, 0.0], [0.3924, 0.0]]
[150, [4.3974, 0.008899], [0.3912, 0.004449]]
[155, [4.4224, 0.004449], [0.3449, 0.016817]]
[160, [4.4509, 0.008899], [0.3341, 0.013765]]
[165, [4.4783, 0.004449], [0.346, 0.01427]]
[170, [4.5211, 0.008899], [0.4031, 0.012697]]
[175, [4.5651, 0.004449], [0.4554, 0.012807]]
[180, [4.6174, 0.011028], [0.6065, 0.013026]]
[185, [4.7875, 0.040044], [0.9026, 0.024195]]
