[40, [4.1132, 0.009787], [0.5758, 0.023507]]
[45, [4.1669, 0.012732], [0.5317, 0.020672]]
[50, [4.2303, 0.007182], [0.5297, 0.020493]]
[55, [4.2898, 0.0], [0.5106, 0.022218]]
[60, [4.3608, 0.014363], [0.4914, 0.016511]]
[65, [4.4337, 0.0], [0.4798, 0.02271]]
[70, [4.4971, 0.011516], [0.4875, 0.019574]]
[75, [4.5777, 0.0], [0.4357, 0.020672]]
[80, [4.6641, 0.0], [0.4203, 0.023032]]
[85, [4.7428, 0.012732], [0.4299, 0.02458]]
[90, [4.8445, 0.012732], [0.4472, 0.017799]]
[95, [5.0614, 0.026177], [0.8119, 0.042313]]
[100, [4.9952, 0.096566], [0.7486, 0.057581]]
