[40, [4.2322, 0.0], [0.6065, 0.016511]]
[45, [4.261, 0.0], [0.5605, 0.017799]]
[50, [4.309, 0.013572], [0.524, 0.018806]]
[55, [4.3454, 0.007182], [0.5163, 0.012732]]
[60, [4.3953, 0.013572], [0.4952, 0.015593]]
[65, [4.4395, 0.011516], [0.4798, 0.013572]]
[70, [4.4932, 0.007182], [0.4606, 0.014867]]
[75, [4.5489, 0.0], [0.4319, 0.014867]]
[80, [4.6065, 0.0], [0.4069, 0.009787]]
[85, [4.6545, 0.013572], [0.4223, 0.013572]]
[90, [4.7159, 0.011516], [0.38, 0.011516]]
[95, [4.7792, 0.0], [0.3666, 0.012732]]
[100, [4.8368, 0.0], [0.3455, 0.014867]]
[105, [4.8982, 0.009787], [0.3359, 0.017167]]
[110, [4.9808, 0.0], [0.3331, 0.014248]]
[115, [5.0671, 0.0], [0.3416, 0.009787]]
[120, [5.1804, 0.007182], [0.382, 0.012732]]
[125, [5.3378, 0.014104], [0.501, 0.017591]]
[130, [5.9846, 0.161112], [1.1497, 0.13766]]
