[40, [3.8457, 0.008738], [0.7908, 0.012472]]
[45, [3.8433, 0.008899], [0.7741, 0.010899]]
[50, [3.8623, 0.008899], [0.7563, 0.012697]]
[55, [3.873, 0.008899], [0.7182, 0.012127]]
[60, [3.8909, 0.006063], [0.6814, 0.011651]]
[65, [3.9135, 0.008738], [0.6647, 0.013765]]
[70, [3.9325, 0.008899], [0.6457, 0.011651]]
[75, [3.9729, 0.007888], [0.6255, 0.004449]]
[80, [3.9955, 0.006513], [0.6112, 0.007888]]
[85, [4.0157, 0.006063], [0.5958, 0.012697]]
[90, [4.0395, 0.008899], [0.5886, 0.011281]]
[95, [4.0609, 0.008408], [0.5958, 0.010899]]
[100, [4.0847, 0.006513], [0.5839, 0.007888]]
[105, [4.1168, 0.007135], [0.5553, 0.008899]]
[110, [4.143, 0.007888], [0.5208, 0.007135]]
[115, [4.1703, 0.007135], [0.5006, 0.012127]]
[120, [4.1917, 0.0], [0.465, 0.004449]]
[125, [4.2203, 0.008738], [0.4435, 0.011028]]
[130, [4.2417, 0.007135], [0.4103, 0.0]]
[135, [4.269, 0.008408], [0.4079, 0.006063]]
[140, [4.2987, 0.0], [0.377, 0.006063]]
[145, [4.3166, 0.0], [0.3579, 0.004449]]
[150, [4.3522, 0.0], [0.3175, 0.007135]]
[155, [4.3903, 0.006063], [0.3211, 0.0]]
[160, [4.4236, 0.0], [0.3234, 0.006063]]
[165, [4.4593, 0.0], [0.39, 0.008899]]
[170, [4.4902, 0.013765], [0.371, 0.031372]]
[175, [4.5485, 0.0], [0.3556, 0.004449]]
[180, [4.5746, 0.008899], [0.4293, 0.018952]]
[185, [4.6388, 0.004449], [0.5101, 0.008738]]
[190, [4.6983, 0.008738], [0.635, 0.015686]]
