[40, [4.5777, 0.0], [0.4088, 0.011516]]
[45, [4.6103, 0.009787], [0.3973, 0.015593]]
[50, [4.6641, 0.0], [0.3935, 0.017167]]
[55, [4.7101, 0.014104], [0.382, 0.012732]]
[60, [4.7504, 0.0], [0.3493, 0.009787]]
[65, [4.808, 0.0], [0.3352, 0.013795]]
[70, [4.8637, 0.007182], [0.3186, 0.007182]]
[75, [4.9232, 0.0], [0.3167, 0.0]]
[80, [4.9808, 0.0], [0.3301, 0.017799]]
[85, [5.0363, 0.007415], [0.3167, 0.0]]
[90, [5.0959, 0.0], [0.3263, 0.013572]]
[95, [5.1669, 0.014363], [0.3225, 0.011516]]
[100, [5.2322, 0.012732], [0.3186, 0.007182]]
[105, [5.2994, 0.007182], [0.3493, 0.009787]]
[110, [5.3838, 0.0], [0.3704, 0.020672]]
[115, [5.4702, 0.0], [0.3589, 0.014363]]
[120, [5.5892, 0.009787], [0.4165, 0.014363]]
[125, [5.7639, 0.018806], [0.5566, 0.013572]]
[130, [6.236, 0.049085], [1.0461, 0.051143]]
