[40, [4.1612, 0.014363], [0.6391, 0.011516]]
[45, [4.2034, 0.0], [0.6276, 0.015593]]
[50, [4.2514, 0.013572], [0.5931, 0.014104]]
[55, [4.2879, 0.007182], [0.5796, 0.009787]]
[60, [4.3454, 0.007182], [0.547, 0.014867]]
[65, [4.3934, 0.014104], [0.5336, 0.014363]]
[70, [4.4337, 0.0], [0.5048, 0.014363]]
[75, [4.4644, 0.007182], [0.4894, 0.014867]]
[80, [4.5163, 0.009787], [0.4587, 0.012732]]
[85, [4.5489, 0.0], [0.453, 0.012732]]
[90, [4.6065, 0.0], [0.428, 0.014363]]
[95, [4.6641, 0.0], [0.3992, 0.014363]]
[100, [4.7216, 0.0], [0.3935, 0.013572]]
[105, [4.7735, 0.011516], [0.3685, 0.018806]]
[110, [4.8368, 0.0], [0.3493, 0.017799]]
[115, [4.8944, 0.0], [0.3229, 0.011813]]
[120, [4.9808, 0.0], [0.3493, 0.009787]]
[125, [5.1017, 0.015593], [0.3724, 0.012732]]
[130, [5.3723, 0.036113], [0.7044, 0.050271]]
