[40, [4.2773, 0.007135], [0.6255, 0.012127]]
[45, [4.3082, 0.008899], [0.6005, 0.008408]]
[50, [4.3344, 0.006513], [0.5874, 0.007888]]
[55, [4.3582, 0.008408], [0.5625, 0.008899]]
[60, [4.3879, 0.0], [0.5304, 0.013765]]
[65, [4.42, 0.007135], [0.4935, 0.008408]]
[70, [4.4438, 0.006063], [0.4792, 0.008899]]
[75, [4.4795, 0.006063], [0.465, 0.004449]]
[80, [4.5128, 0.0], [0.4293, 0.004449]]
[85, [4.5473, 0.004449], [0.415, 0.007888]]
[90, [4.5746, 0.008899], [0.4043, 0.010636]]
[95, [4.6043, 0.006063], [0.4055, 0.007888]]
[100, [4.621, 0.004449], [0.39, 0.011028]]
[105, [4.6376, 0.0], [0.3567, 0.0]]
[110, [4.6412, 0.007135], [0.3318, 0.008738]]
[115, [4.6376, 0.0], [0.3211, 0.0]]
[120, [4.6436, 0.008408], [0.302, 0.004449]]
[125, [4.6579, 0.006063], [0.2854, 0.009211]]
[130, [4.6733, 0.0], [0.2759, 0.008899]]
[135, [4.6769, 0.007135], [0.2676, 0.0]]
[140, [4.6733, 0.0], [0.2604, 0.008738]]
[145, [4.6745, 0.004449], [0.283, 0.006063]]
[150, [4.7066, 0.006063], [0.3032, 0.0]]
[155, [4.7268, 0.0], [0.2997, 0.013348]]
[160, [4.7566, 0.008408], [0.3258, 0.012127]]
[165, [4.7827, 0.006063], [0.3175, 0.007135]]
[170, [4.8362, 0.006063], [0.3663, 0.011028]]
[175, [4.8874, 0.0], [0.3984, 0.010636]]
[180, [4.9266, 0.007135], [0.4138, 0.009661]]
[185, [4.9765, 0.0], [0.4638, 0.009211]]
[190, [5.0134, 0.004449], [0.4852, 0.007135]]
[195, [5.0705, 0.007888], [0.5113, 0.012472]]
[200, [5.1395, 0.006063], [0.5529, 0.014564]]
[205, [5.2441, 0.006513], [0.6921, 0.007135]]
[210, [5.3999, 0.010229], [0.8074, 0.024773]]
