[40, [3.7886, 0.008738], [0.6956, 0.0]]
[45, [3.8195, 0.006063], [0.6956, 0.0]]
[50, [3.8552, 0.006063], [0.6778, 0.0]]
[55, [3.8897, 0.004449], [0.66, 0.0]]
[60, [3.9277, 0.007135], [0.6279, 0.007135]]
[65, [3.9598, 0.0], [0.616, 0.008899]]
[70, [3.9765, 0.007888], [0.6207, 0.007135]]
[75, [4.0015, 0.008408], [0.6065, 0.0]]
[80, [4.0312, 0.0], [0.5755, 0.007888]]
[85, [4.0478, 0.004449], [0.5482, 0.007888]]
[90, [4.0847, 0.0], [0.5351, 0.0]]
[95, [4.118, 0.006063], [0.5292, 0.008408]]
[100, [4.1548, 0.004449], [0.5173, 0.0]]
[105, [4.1917, 0.0], [0.4828, 0.004449]]
[110, [4.2274, 0.0], [0.4745, 0.008738]]
[115, [4.2452, 0.0], [0.4638, 0.0]]
[120, [4.2809, 0.0], [0.4388, 0.008738]]
[125, [4.2999, 0.004449], [0.4103, 0.0]]
[130, [4.3344, 0.0], [0.3936, 0.004449]]
[135, [4.3713, 0.004449], [0.4055, 0.007888]]
[140, [4.42, 0.007135], [0.3841, 0.008899]]
[145, [4.4593, 0.0], [0.3698, 0.007888]]
[150, [4.508, 0.007888], [0.3009, 0.008899]]
[155, [4.5128, 0.0], [0.3211, 0.0]]
[160, [4.5485, 0.0], [0.3793, 0.007888]]
[165, [4.5853, 0.004449], [0.5018, 0.014368]]
