[40, [4.0847, 0.0], [0.7028, 0.008738]]
[45, [4.1061, 0.007135], [0.6731, 0.007888]]
[50, [4.1406, 0.008899], [0.6457, 0.007135]]
[55, [4.1596, 0.007135], [0.6291, 0.007888]]
[60, [4.1893, 0.006063], [0.6231, 0.007888]]
[65, [4.2095, 0.0], [0.616, 0.011028]]
[70, [4.2333, 0.008408], [0.6017, 0.007888]]
[75, [4.2619, 0.004449], [0.5827, 0.010636]]
[80, [4.2952, 0.007135], [0.5482, 0.007888]]
[85, [4.3142, 0.006063], [0.5197, 0.006063]]
[90, [4.3344, 0.006513], [0.5078, 0.008899]]
[95, [4.3689, 0.004449], [0.4828, 0.004449]]
[100, [4.3879, 0.006513], [0.4519, 0.008408]]
[105, [4.4069, 0.004449], [0.4459, 0.009211]]
[110, [4.4355, 0.008408], [0.4388, 0.008738]]
[115, [4.4593, 0.0], [0.4245, 0.007135]]
[120, [4.489, 0.008408], [0.3912, 0.004449]]
[125, [4.5128, 0.0], [0.371, 0.011651]]
[130, [4.5473, 0.004449], [0.3389, 0.0]]
[135, [4.5663, 0.0], [0.3318, 0.008738]]
[140, [4.602, 0.0], [0.3211, 0.0]]
[145, [4.6365, 0.004449], [0.3044, 0.004449]]
[150, [4.6733, 0.0], [0.3032, 0.0]]
[155, [4.709, 0.0], [0.308, 0.007888]]
[160, [4.728, 0.004449], [0.352, 0.007888]]
[165, [4.7791, 0.004449], [0.3841, 0.012807]]
[170, [4.8124, 0.007135], [0.3746, 0.0]]
[175, [4.8505, 0.004449], [0.3829, 0.011028]]
[180, [4.8981, 0.008738], [0.4245, 0.011651]]
[185, [4.954, 0.007888], [0.4828, 0.007888]]
[190, [5.011, 0.004449], [0.5339, 0.004449]]
[195, [5.0526, 0.007888], [0.5755, 0.010229]]
[200, [5.1383, 0.004449], [0.6409, 0.007888]]
[205, [5.2263, 0.0], [0.7313, 0.006513]]
[210, [5.3345, 0.027221], [0.855, 0.04627]]
