[40, [3.5306, 0.012127], [0.786, 0.016563]]
[45, [3.5567, 0.012697], [0.7801, 0.010229]]
[50, [3.5888, 0.009661], [0.761, 0.01407]]
[55, [3.6162, 0.007888], [0.7396, 0.008899]]
[60, [3.6495, 0.008738], [0.7278, 0.007135]]
[65, [3.6899, 0.011028], [0.7099, 0.007135]]
[70, [3.7244, 0.009661], [0.6945, 0.004449]]
[75, [3.7601, 0.007135], [0.679, 0.004449]]
[80, [3.7672, 0.007135], [0.6742, 0.007135]]
[85, [3.7696, 0.008408], [0.6612, 0.016563]]
[90, [3.7755, 0.008408], [0.6207, 0.009661]]
[95, [3.7993, 0.0], [0.5851, 0.007135]]
[100, [3.8183, 0.007888], [0.591, 0.006063]]
[105, [3.8504, 0.006063], [0.5827, 0.010636]]
[110, [3.8766, 0.008408], [0.5577, 0.007888]]
[115, [3.8778, 0.008738], [0.5339, 0.004449]]
[120, [3.8861, 0.006063], [0.4994, 0.0]]
[125, [3.9206, 0.007135], [0.4483, 0.006063]]
[130, [3.9432, 0.004449], [0.4376, 0.008899]]
[135, [3.9967, 0.004449], [0.4221, 0.008408]]
[140, [4.024, 0.008738], [0.3472, 0.011028]]
[145, [4.049, 0.0], [0.3365, 0.006063]]
[150, [4.0704, 0.007135], [0.3032, 0.0]]
[155, [4.1204, 0.0], [0.2985, 0.010229]]
[160, [4.1132, 0.008738], [0.3246, 0.007135]]
[165, [4.1382, 0.006513], [0.4994, 0.011281]]
