[40, [3.9979, 0.006063], [0.7801, 0.015228]]
[45, [4.0252, 0.008408], [0.7468, 0.011028]]
[50, [4.0478, 0.004449], [0.7289, 0.011028]]
[55, [4.0835, 0.007888], [0.7218, 0.008899]]
[60, [4.1216, 0.007888], [0.7028, 0.012697]]
[65, [4.1584, 0.006063], [0.6802, 0.012807]]
[70, [4.1941, 0.006063], [0.6612, 0.004449]]
[75, [4.2238, 0.007135], [0.6421, 0.006513]]
[80, [4.2405, 0.007888], [0.6457, 0.007135]]
[85, [4.2583, 0.007888], [0.616, 0.015776]]
[90, [4.2857, 0.010229], [0.5958, 0.01427]]
[95, [4.2405, 0.007888], [0.5874, 0.010229]]
[100, [4.1751, 0.004449], [0.5506, 0.011028]]
[105, [4.1596, 0.009661], [0.5672, 0.014852]]
[110, [4.1751, 0.004449], [0.5827, 0.008408]]
[115, [4.1905, 0.007888], [0.5458, 0.010899]]
[120, [4.2143, 0.012127], [0.5054, 0.022247]]
[125, [4.2405, 0.007888], [0.5054, 0.021272]]
[130, [4.2964, 0.006063], [0.4566, 0.012697]]
[135, [4.3344, 0.0], [0.4067, 0.009661]]
[140, [4.3629, 0.008738], [0.3544, 0.011028]]
[145, [4.3927, 0.007888], [0.3663, 0.008899]]
[150, [4.4272, 0.007135], [0.3639, 0.021404]]
[155, [4.4593, 0.0], [0.3139, 0.008738]]
[160, [4.4949, 0.0], [0.3472, 0.008899]]
[165, [4.5187, 0.008408], [0.3698, 0.007888]]
[170, [4.5401, 0.008899], [0.4269, 0.015228]]
[175, [4.5663, 0.0], [0.4447, 0.007888]]
[180, [4.6305, 0.008738], [0.4864, 0.012127]]
[185, [4.6923, 0.004449], [0.5874, 0.012127]]
[190, [4.7363, 0.008899], [0.7171, 0.011651]]
