[40, [3.4378, 0.007888], [0.8241, 0.007135]]
[45, [3.4663, 0.008408], [0.8146, 0.010636]]
[50, [3.4759, 0.006063], [0.8039, 0.004449]]
[55, [3.5091, 0.007888], [0.7848, 0.0]]
[60, [3.5365, 0.007888], [0.7563, 0.008738]]
[65, [3.5555, 0.008408], [0.7289, 0.006063]]
[70, [3.5698, 0.006063], [0.7135, 0.0]]
[75, [3.5888, 0.007135], [0.6956, 0.0]]
[80, [3.5936, 0.011028], [0.6754, 0.006063]]
[85, [3.6067, 0.009661], [0.6481, 0.008408]]
[90, [3.6459, 0.008738], [0.6267, 0.006063]]
[95, [3.6744, 0.0], [0.635, 0.008738]]
[100, [3.6911, 0.004449], [0.6291, 0.012127]]
[105, [3.7196, 0.008899], [0.6207, 0.007135]]
[110, [3.7244, 0.009661], [0.5779, 0.008738]]
[115, [3.7089, 0.004449], [0.528, 0.008738]]
[120, [3.7458, 0.0], [0.5149, 0.006063]]
[125, [3.7838, 0.006063], [0.5042, 0.013765]]
[130, [3.8159, 0.004449], [0.4685, 0.012127]]
[135, [3.835, 0.0], [0.4019, 0.011028]]
[140, [3.8516, 0.004449], [0.346, 0.010899]]
[145, [3.8706, 0.0], [0.3401, 0.004449]]
[150, [3.9242, 0.0], [0.3472, 0.008899]]
[155, [3.9337, 0.008899], [0.3865, 0.01407]]
[160, [3.9777, 0.0], [0.4911, 0.008899]]
[165, [4.0466, 0.012807], [0.5518, 0.018952]]
[170, [4.2559, 0.008738], [0.2985, 0.028737]]
