[40, [3.1251, 0.007135], [0.874, 0.0]]
[45, [3.1595, 0.006063], [0.8562, 0.0]]
[50, [3.194, 0.004449], [0.8229, 0.006063]]
[55, [3.2261, 0.006063], [0.8169, 0.007135]]
[60, [3.2535, 0.008738], [0.8003, 0.008899]]
[65, [3.2785, 0.007135], [0.7789, 0.008408]]
[70, [3.2999, 0.0], [0.7682, 0.004449]]
[75, [3.3332, 0.006063], [0.7563, 0.008738]]
[80, [3.3581, 0.007888], [0.742, 0.008738]]
[85, [3.3855, 0.007135], [0.7206, 0.008738]]
[90, [3.4057, 0.004449], [0.7004, 0.007888]]
[95, [3.4414, 0.004449], [0.7111, 0.006063]]
[100, [3.4437, 0.004449], [0.6778, 0.0]]
[105, [3.4544, 0.008408], [0.635, 0.008738]]
[110, [3.4782, 0.0], [0.5732, 0.006063]]
[115, [3.5139, 0.0], [0.4923, 0.008738]]
[120, [3.5377, 0.008408], [0.3651, 0.008899]]
[125, [3.6518, 0.010229], [0.5934, 0.013765]]
