[40, [3.6281, 0.008738], [0.7848, 0.0]]
[45, [3.653, 0.007135], [0.767, 0.0]]
[50, [3.6756, 0.007888], [0.7432, 0.008408]]
[55, [3.6935, 0.007888], [0.7337, 0.006063]]
[60, [3.7196, 0.008899], [0.7135, 0.0]]
[65, [3.7422, 0.011651], [0.6826, 0.007888]]
[70, [3.7648, 0.007888], [0.6778, 0.0]]
[75, [3.7969, 0.006063], [0.6624, 0.006063]]
[80, [3.8112, 0.008408], [0.6267, 0.006063]]
[85, [3.8231, 0.008408], [0.6184, 0.008408]]
[90, [3.8421, 0.008738], [0.6053, 0.004449]]
[95, [3.8576, 0.007888], [0.5969, 0.008899]]
[100, [3.8742, 0.007135], [0.5708, 0.0]]
[105, [3.8849, 0.009661], [0.572, 0.004449]]
[110, [3.9063, 0.0], [0.5173, 0.0]]
[115, [3.9206, 0.007135], [0.4899, 0.008899]]
[120, [3.942, 0.0], [0.4578, 0.008408]]
[125, [3.9753, 0.006063], [0.4543, 0.008899]]
[130, [4.0157, 0.006063], [0.4424, 0.007135]]
[135, [4.049, 0.0], [0.3996, 0.008738]]
[140, [4.1025, 0.0], [0.3449, 0.008408]]
[145, [4.1275, 0.008738], [0.2794, 0.008408]]
[150, [4.156, 0.0], [0.2699, 0.006063]]
[155, [4.1739, 0.0], [0.2319, 0.0]]
[160, [4.1929, 0.004449], [0.239, 0.010899]]
[175, [4.4325, 0.008919], [0.2676, 0.017837]]
